council,https://usustatesman.com/wp-content/uploads/2019/01/20190109_feeboardmeeting_rimando2-1050x700.jpg,"""College Councils""","""Advocate for student interests to their college’s administration (deans & department heads), plan & execute service projects & college specific events. Each college has its own week filled with events.""","""Humanities & Social Sciences Application:""",,https://usu.co1.qualtrics.com/jfe/form/SV_9mh79aPEaFUpE9M
council,https://usustatesman.com/wp-content/uploads/2019/01/20190109_feeboardmeeting_rimando2-1050x700.jpg,"""College Councils""","""Advocate for student interests to their college’s administration (deans & department heads), plan & execute service projects & college specific events. Each college has its own week filled with events.""","""Science Application: """,,https://usu.co1.qualtrics.com/jfe/form/SV_9vLBETERRRrJmKy
council,https://usustatesman.com/wp-content/uploads/2019/01/20190109_feeboardmeeting_rimando2-1050x700.jpg,"""College Councils""","""Advocate for student interests to their college’s administration (deans & department heads), plan & execute service projects & college specific events. Each college has its own week filled with events.""","""Education Application: """,,https://docs.google.com/forms/d/e/1FAIpQLSdM7-KZXgiu4FgrfTT5OuJiT3oHrpQPPCfiu4m02muxdn1Psw/viewform
council,https://usustatesman.com/wp-content/uploads/2019/01/20190109_feeboardmeeting_rimando2-1050x700.jpg,"""College Councils""","""Advocate for student interests to their college’s administration (deans & department heads), plan & execute service projects & college specific events. Each college has its own week filled with events.""","""Huntsman Contact: """,mailto:,huntsmansenator.ususa@usu.edu
council,https://usustatesman.com/wp-content/uploads/2019/01/20190109_feeboardmeeting_rimando2-1050x700.jpg,"""College Councils""","""Advocate for student interests to their college’s administration (deans & department heads), plan & execute service projects & college specific events. Each college has its own week filled with events.""","""Natural Resources Application: """,,https://usu.co1.qualtrics.com/jfe/form/SV_9mh79aPEaFUpE9M
saa,https://usustatesman.com/wp-content/uploads/2015/10/KT.SAAnetworking.10.8.03.jpg,"""Student Alumni Association""","""Create lifelong aggies. Focuses on donors and guest speakers. Engage alumni. Plan & execute initiatives to connect students with alumni. Also, True Aggie Night, Miss USU, and A-Day.""",“Website: “,https://www.usu.edu/alumni/,
serve,https://usustatesman.com/wp-content/uploads/2021/02/snac.jpg,"""Service Center Programs""","""Collection of various service groups and programs. Some of the programs run out of the center are SNAC, Best Buddies, Special Olympics, Athletics United, among others.""",“Website: “,https://www.usu.edu/servicecenter/index,
states,https://i.ibb.co/2vhVDVJ/states.png,"""Utah Statesman""","“ Weekly student news. Gives students an opportunity to write on a variety of topics.""","""Application Link: """,https://docs.google.com/forms/d/e/1FAIpQLSea_u0ACnO9fcVxBlN19upb2QVO2Qmg2YLPl9SibU6p2q-CgA/viewform,
radio,https://usustatesman.com/wp-content/uploads/2013/10/2840326-2159898677.jpg,"""Aggie Radio""","""Provides students with opportunities to DJ, create radio talk shows, podcasts, & plan/coordinate events (mainly concerts).""","""Application Link: """,https://docs.google.com/forms/d/e/1FAIpQLSea_u0ACnO9fcVxBlN19upb2QVO2Qmg2YLPl9SibU6p2q-CgA/viewform,
blight,https://i.ibb.co/mTnCpwH/blight.png,"""Blue Light""","""Meet content creation needs for clients, primarily USUSA.""","""Application Link: """,https://docs.google.com/forms/d/e/1FAIpQLSea_u0ACnO9fcVxBlN19upb2QVO2Qmg2YLPl9SibU6p2q-CgA/viewform,
fsl,https://i.ibb.co/xgrX0Lm/fsl.jpg,"""Fraternity and Sorority Life""","""Advance personal development through community service, philanthropic fundraising, & activities.""",“Sorority Link: ”,https://www.usu.edu/involvement/fsl/sorority-recruitment,
fsl,https://i.ibb.co/xgrX0Lm/fsl.jpg,"""Fraternity and Sorority Life""","""Advance personal development through community service, philanthropic fundraising, & activities.""",“Fraternity Link: “,https://docs.google.com/forms/d/e/1FAIpQLSfoAJLxRYokCNgDpJ-0A4pCIZv7ZLM3bF2Ng8CiYMwRHJrERQ/viewform?usp=send_form,
nscsc,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""National Society of Collegiate Scholars (NSCS)""","""The National Society of Collegiate Scholars (NSCS) is an honors organization that recognizes and elevates high-achieving students. NSCS provides career and graduate school connections, leadership, and service opportunities, and gives out more than $1 million annually in scholarships, awards, and chapter funds.""","""placeholder""","""placeholder""",
